Date,Transaction Description,Category,Amount,Type,UserID,TransactionID,Currency,Merchant,Account Name
1/2/2020,Score each.,Food & Drink,1485.69,Expense,US001,PFD001,USD,Subway,Checking Account
1/2/2020,Quality throughout.,Utilities,1475.58,Expense,US001,PFD002,USD,Duke Energy,Checking Account
1/4/2020,Instead ahead despite measure ago.,Rent,1185.08,Expense,US001,PFD003,USD,Apartment Complex,Savings Account
1/5/2020,Information last everything thank serve.,Investment,2291,Income,US001,PFD004,USD,Vanguard,Savings Account
1/13/2020,Future choice whatever from.,Food & Drink,1126.88,Expense,US001,PFD005,USD,McDonalds,Credit Card
1/14/2020,Benefit suggest page southern.,Shopping,448.68,Expense,US001,PFD006,USD,Best Buy,Checking Account
1/18/2020,By two bad fall pick.,Food & Drink,1520.03,Expense,US001,PFD007,USD,Subway,Savings Account
1/19/2020,Court attorney product significant world.,Other,3287,Income,US001,PFD008,USD,Generic Merchant,Savings Account
1/21/2020,Herself law.,Entertainment,1914.85,Expense,US001,PFD009,USD,Netflix,Savings Account
1/25/2020,Have decide environment.,Rent,766.06,Expense,US001,PFD010,USD,Landlord,Savings Account
1/25/2020,Play move each left establish.,Health & Fitness,1211.41,Expense,US001,PFD011,USD,Generic Merchant,Checking Account
1/26/2020,Range successful simply.,Salary,1077.09,Expense,US001,PFD012,USD,Generic Merchant,Checking Account
1/29/2020,Source husband.,Shopping,166.81,Expense,US001,PFD013,USD,Best Buy,Checking Account
1/30/2020,Tree note responsibility.,Health & Fitness,1158.93,Expense,US001,PFD014,USD,Generic Merchant,Checking Account
1/31/2020,How trip learn enter.,Food & Drink,1325.91,Expense,US001,PFD015,USD,Starbucks,Credit Card
1/31/2020,Much section investment on gun.,Rent,1712.08,Expense,US001,PFD016,USD,Zillow Rentals,Savings Account
1/31/2020,Management sense technology check civil.,Shopping,563.17,Expense,US001,PFD017,USD,Best Buy,Checking Account
2/2/2020,As high you more wife.,Health & Fitness,333.68,Expense,US001,PFD018,USD,Generic Merchant,Checking Account
2/4/2020,Race mr.,Travel,1406.62,Expense,US001,PFD019,USD,Generic Merchant,Checking Account
2/5/2020,Born itself law west.,Rent,1222.17,Expense,US001,PFD020,USD,Apartment Complex,Savings Account
2/5/2020,Seven medical blood personal.,Investment,1838,Income,US001,PFD021,USD,Charles Schwab,Savings Account
2/7/2020,Current hear claim well two.,Travel,1979.15,Expense,US001,PFD022,USD,Generic Merchant,Savings Account
2/7/2020,Food affect upon these story.,Entertainment,1372.38,Expense,US001,PFD023,USD,Spotify,Checking Account
2/8/2020,Around there water.,Food & Drink,465.81,Expense,US001,PFD024,USD,Dunkin,Checking Account
2/8/2020,Staff within mouth call.,Other,3786,Income,US001,PFD025,USD,Generic Merchant,Savings Account
2/9/2020,Close month parent who up.,Entertainment,1827.14,Expense,US001,PFD026,USD,Spotify,Savings Account
2/11/2020,Human public health.,Health & Fitness,433.13,Expense,US001,PFD027,USD,Generic Merchant,Checking Account
2/13/2020,Building different full open.,Salary,294.31,Expense,US001,PFD028,USD,Generic Merchant,Checking Account
2/15/2020,Detail audience piece director town.,Other,4009,Income,US001,PFD029,USD,Generic Merchant,Savings Account
2/16/2020,Method everything.,Shopping,730.37,Expense,US001,PFD030,USD,Target,Credit Card
2/16/2020,Much rich think.,Utilities,1023.96,Expense,US001,PFD031,USD,Con Edison,Checking Account
2/18/2020,Drug list imagine behind.,Investment,1398,Income,US001,PFD032,USD,Vanguard,Checking Account
2/19/2020,Interest level rock pull.,Investment,3958,Income,US001,PFD033,USD,Charles Schwab,Savings Account
2/20/2020,I fund.,Shopping,769.42,Expense,US001,PFD034,USD,Amazon,Credit Card
2/26/2020,Court movie cell.,Travel,1942.45,Expense,US001,PFD035,USD,Generic Merchant,Savings Account
2/27/2020,Leg themselves away.,Food & Drink,1363.76,Expense,US001,PFD036,USD,Subway,Checking Account
2/28/2020,Anything yourself.,Other,3286,Income,US001,PFD037,USD,Generic Merchant,Savings Account
2/28/2020,Unit support.,Other,1795,Income,US001,PFD038,USD,Generic Merchant,Savings Account
2/29/2020,Magazine degree husband around.,Travel,1944.06,Expense,US001,PFD039,USD,Generic Merchant,Savings Account
