Transaction_ID,Date,Time,Amount,Description,Merchant,Category
TX0001,4/3/2024,20:57:00,8.53,Lunch meal,McDonalds,Food & Beverage
TX0002,8/11/2024,15:39:00,228.41,Electricity bill,Local Utility,Bills
TX0003,10/25/2024,18:49:00,109.65,Grocery store purchase,Target,Groceries
TX0004,4/4/2024,15:06:00,23.62,Taxi service,Uber,Transportation
TX0005,3/26/2025,22:38:00,24.74,Taxi service,Local Transit,Transportation
TX0006,3/28/2025,12:13:00,186.46,Pharmacy purchase,Local Clinic,Healthcare
TX0007,1/12/2025,12:57:00,41.06,Bulk food items,Walmart,Groceries
TX0008,12/30/2024,22:56:00,86.81,Supermarket shopping,Costco,Groceries
TX0009,8/21/2024,12:04:00,22.81,Dinner at restaurant,McDonalds,Food & Beverage
TX0010,1/5/2025,8:07:00,53.44,Movie tickets,Spotify,Entertainment
TX0011,2/6/2025,18:18:00,27.97,Lunch meal,Dunkin,Food & Beverage
TX0012,3/8/2025,12:28:00,10.84,Dinner at restaurant,McDonalds,Food & Beverage
TX0013,5/7/2024,8:16:00,34.11,Bus ticket,Uber,Transportation
TX0014,3/6/2025,15:17:00,74.54,Concert tickets,Netflix,Entertainment
TX0015,3/7/2025,8:13:00,16.53,Taxi service,Lyft,Transportation
TX0016,12/21/2024,20:33:00,126.4,Supermarket shopping,Target,Groceries
TX0017,11/3/2024,12:56:00,35.24,Taxi service,Lyft,Transportation
TX0018,11/15/2024,20:45:00,279.27,Health supplement,CVS Pharmacy,Healthcare
TX0019,7/3/2024,20:36:00,5.81,Dinner at restaurant,Subway,Food & Beverage
TX0020,3/3/2025,12:56:00,17.48,Lunch meal,McDonalds,Food & Beverage
TX0021,7/11/2024,18:30:00,26.46,Coffee purchase,Subway,Food & Beverage
TX0022,3/18/2025,18:26:00,996.67,Internet bill,Local Utility,Bills
TX0023,3/3/2025,22:18:00,11.59,Coffee purchase,Starbucks,Food & Beverage
TX0024,7/17/2024,15:34:00,110.78,Pharmacy purchase,Walgreens,Healthcare
TX0025,1/13/2025,12:55:00,41.37,Movie tickets,AMC Theatres,Entertainment
TX0026,4/13/2024,12:02:00,159.05,Monthly bill payment,Local Utility,Bills
TX0027,10/1/2024,18:25:00,99.62,Streaming subscription,AMC Theatres,Entertainment
TX0028,8/16/2024,12:40:00,80.14,Concert tickets,AMC Theatres,Entertainment
TX0029,12/31/2024,18:41:00,84.62,Movie tickets,Netflix,Entertainment
TX0030,6/4/2024,20:29:00,159.11,Internet bill,Local Utility,Bills
TX0031,5/5/2024,12:20:00,780.38,Monthly bill payment,Local Utility,Bills
TX0032,12/4/2024,18:55:00,178.43,Pharmacy purchase,Local Clinic,Healthcare
TX0033,1/27/2025,12:02:00,134.29,Supermarket shopping,Costco,Groceries
TX0034,3/9/2025,18:47:00,429.9,Pharmacy purchase,Local Clinic,Healthcare
TX0035,2/22/2025,20:07:00,20.3,Taxi service,Lyft,Transportation
TX0036,8/17/2024,18:03:00,30.45,Bus ticket,Uber,Transportation
